"Pipeline","Stage","Command","Inputs","Outputs","Writes where","Resume support","Skip support","Manual actions","Status"
"youtube","Launch 10 workers","START_COLAB_ALL.bat / launch_colab_group.py","Prepared notebook URLs","Browser tabs","Browser profiles","N/A","N/A","Logged-in profiles and Colab run","Launcher only"
"youtube","Queue status","python -m orchestrator youtube video queue-status --story-id <story>","Drive job queue","Status report","output/youtube/<story>/08_video/reports and Drive reports","Read-only","N/A","None","Automated"
"youtube","Dispatch segments","python -m orchestrator youtube video dispatch-segments --story-id <story> --execute","Drive global_pending","assigned worker pending jobs","Drive assigned queues","Re-run aware of assigned/done","Missing asset segments skipped","None","Automated"
"youtube","Reclaim stale","python -m orchestrator youtube video reclaim-stale-segments --story-id <story> --execute","Drive assigned processing jobs","Pending or failed jobs plus report","Drive queue and local reports","Yes","Max attempts to failed","None if watcher active","Automated"
"youtube","Watch queue","python -m orchestrator youtube video watch-queue --story-id <story> --execute","Drive queue and worker status","Dispatch/reclaim/status/import reports","Local and Drive reports/events","Loop can resume","Stops with failures when no work remains","Start watcher","Automated per-story"
"youtube","Import results","python -m orchestrator youtube video import-results --story-id <story> --execute","Drive done segment mp4","Local segment mp4","output/youtube/<story>/08_video/segments","Re-runnable","Partial import report","None","Automated"
"youtube","Assemble final","python -m orchestrator youtube video assemble-final --story-id <story> --execute","All local segments and narration","final_video.mp4 and final_video_report.json","output/youtube/<story>/08_video","Re-runnable if inputs exist","Blocks on missing segments","ffmpeg installed","Automated per-story"
"youtube","YouTube upload","No command found","final_video.mp4","YouTube video","N/A","N/A","N/A","Manual upload","Missing"
"youtube","Launch-level status","No single command","runs/youtube plus output/youtube plus Drive","Unified report","N/A","N/A","N/A","Manual correlation","Missing"
"youtube","YouTube resume","No dedicated production command","Per-story output plus Drive queue","Manual continuation by stage commands","N/A","Partial through watch/import/assemble commands","Partial stale/failed commands","User chooses next command","Missing production wrapper"
"artifact","Global orchestrator logs",".orchestrator/status.jsonl events.jsonl reports","All runs","Global logs/reports",".orchestrator","Append-only","N/A","None","Works but not launch-scoped"
"artifact","Drive TTS external","G:\Мой диск\ContentFactory_TTS","Site TTS jobs","Texts mp3 job reports","Google Drive","Pending job detection","Manual skipped","Colab/OAuth","External not cleaned by launch delete"
"artifact","Drive YouTube external","G:\Мой диск\ContentFactory_YouTube","Video jobs and worker queues","Rendered segments/reports","Google Drive","Queue resume/reclaim","Failed/stale handling","Colab/OAuth","External not cleaned by launch delete"
"artifact","Recovery queue map","Запуски/<launch>/10_Временные_файлы/recovery_queue_map.json","Recovery launch inputs","Canonical story mapping and duplicate suppression","Launch temp folder or manifest.recovery_execute.queue_map","Yes","Ignored duplicates tracked","None","Important resume source of truth"
"telegram","Telegram scaffold","ensure_telegram_story_scaffold","Launch story id","Empty folders and metadata","Запуски/<launch>/05_Рассказы/<id>/04_YouTube/08_Telegram","N/A","N/A","None","Placeholder only"
"telegram","Telegram send","No implementation","Story package and site URL","Message in channel plus report","N/A","N/A","N/A","All manual / impossible in pipeline","Missing"
